"x","y","fips","abbr","full","county"
-1739895.96037682,-968552.55944114,"06111","CA","California","Ventura County"
-1879040.02896355,-447658.97560659,"06113","CA","California","Yolo County"
-1824162.43135632,-406683.57006021,"06115","CA","California","Yuba County"
-355292.7981504,-561253.80433169,"08001","CO","Colorado","Adams County"
-512537.65815092,-808149.76618511,"08003","CO","Colorado","Alamosa County"
-401963.79411507,-582945.21774562,"08005","CO","Colorado","Arapahoe County"
-639938.24516097,-838693.16154635,"08007","CO","Colorado","Archuleta County"
-226081.437384,-849931.97710717,"08009","CO","Colorado","Baca County"
-269748.29423518,-778213.95273191,"08011","CO","Colorado","Bent County"
-449897.84029484,-531666.22936141,"08013","CO","Colorado","Boulder County"
-434919.92451133,-550186.25245131,"08014","CO","Colorado","Broomfield County"
-536196.60572766,-673367.92978204,"08015","CO","Colorado","Chaffee County"
-221437.90090926,-682473.72849349,"08017","CO","Colorado","Cheyenne County"
-484019.59872608,-573707.36905202,"08019","CO","Colorado","Clear Creek County"
-555878.61183081,-846033.92944181,"08021","CO","Colorado","Conejos County"
-482460.67803931,-847887.44670868,"08023","CO","Colorado","Costilla County"
-331662.01373165,-734953.74057263,"08025","CO","Colorado","Crowley County"
-474118.17572098,-752264.89837987,"08027","CO","Colorado","Custer County"
-681809.1496807,-649406.54909322,"08029","CO","Colorado","Delta County"
-424911.43318654,-573006.36046954,"08031","CO","Colorado","Denver County"
-757354.03941722,-764982.96493628,"08033","CO","Colorado","Dolores County"
-423703.55130511,-617200.22542418,"08035","CO","Colorado","Douglas County"
-576036.95118631,-572180.73660415,"08037","CO","Colorado","Eagle County"
-359279.16508009,-619213.2631047,"08039","CO","Colorado","Elbert County"
-390036.37614054,-675674.279614,"08041","CO","Colorado","El Paso County"
-474674.81062567,-709122.38385917,"08043","CO","Colorado","Fremont County"
-636182.99594254,-572000.27101644,"08045","CO","Colorado","Garfield County"
-469717.23321842,-556359.25783955,"08047","CO","Colorado","Gilpin County"
-509173.77382022,-527714.72066229,"08049","CO","Colorado","Grand County"
-616184.22318415,-671300.33354297,"08051","CO","Colorado","Gunnison County"
-644223.52252426,-754845.07811726,"08053","CO","Colorado","Hinsdale County"
-431604.65099958,-803642.56663385,"08055","CO","Colorado","Huerfano County"
-534019.01586777,-463624.15417303,"08057","CO","Colorado","Jackson County"
-446877.01834704,-569957.61756559,"08059","CO","Colorado","Jefferson County"
-230046.36318701,-725175.87257869,"08061","CO","Colorado","Kiowa County"
