"x","y","order","hole","piece","group","fips","abbr","full"
-1422384.71100451,-1781919.0740558,226,FALSE,1,"02.1","02","AK","Alaska"
-1425048.89687655,-1780927.94617167,227,FALSE,1,"02.1","02","AK","Alaska"
-1426825.82419234,-1774786.90249987,228,FALSE,1,"02.1","02","AK","Alaska"
-1425861.497844,-1772557.2143535,229,FALSE,1,"02.1","02","AK","Alaska"
-1423603.19187778,-1770315.29683535,230,FALSE,1,"02.1","02","AK","Alaska"
-1423515.84274688,-1768800.2278696,231,FALSE,1,"02.1","02","AK","Alaska"
-1426412.87834473,-1767679.08941305,232,FALSE,1,"02.1","02","AK","Alaska"
-1430130.0311941,-1767776.75077446,233,FALSE,1,"02.1","02","AK","Alaska"
-1432956.69458708,-1765584.17750353,234,FALSE,1,"02.1","02","AK","Alaska"
-1437908.05131231,-1763572.63460271,235,FALSE,1,"02.1","02","AK","Alaska"
-1442916.58945771,-1761506.83744905,236,FALSE,1,"02.1","02","AK","Alaska"
-1444788.30137565,-1760460.26318946,237,FALSE,1,"02.1","02","AK","Alaska"
-1444967.57780986,-1755257.49143125,238,FALSE,1,"02.1","02","AK","Alaska"
-1446320.6085179,-1744496.27895181,239,FALSE,1,"02.1","02","AK","Alaska"
-1448511.63090081,-1736529.23262329,240,FALSE,1,"02.1","02","AK","Alaska"
-1451581.717843,-1731811.68645831,241,FALSE,1,"02.1","02","AK","Alaska"
-1455919.47738698,-1727527.21131773,242,FALSE,1,"02.1","02","AK","Alaska"
-1464210.1365169,-1715895.77382875,243,FALSE,1,"02.1","02","AK","Alaska"
-1467928.65982323,-1710572.19424534,244,FALSE,1,"02.1","02","AK","Alaska"
-1468653.71713209,-1710020.87997315,245,FALSE,1,"02.1","02","AK","Alaska"
-1473186.05001558,-1706546.86848484,246,FALSE,1,"02.1","02","AK","Alaska"
-1476137.7288817,-1705131.40758044,247,FALSE,1,"02.1","02","AK","Alaska"
-1477644.33688907,-1703321.99105983,248,FALSE,1,"02.1","02","AK","Alaska"
-1478982.23760205,-1698957.41644646,249,FALSE,1,"02.1","02","AK","Alaska"
